2022-01-13 10:09:59,105 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-01-13 10:10:48,672 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: init:init-resume:1.0.0 @ C:\Users\USER\Documents\아카이브\init-resume\pom.xml.
2022-01-13 10:10:54,694 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/classworlds/classworlds/1.1/classworlds-1.1.jar
2022-01-13 10:10:55,284 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/classworlds/classworlds/1.1/classworlds-1.1.jar
2022-01-13 10:10:58,263 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/main/java
2022-01-13 10:10:58,264 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/main/resources
2022-01-13 10:10:58,266 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/test/java
2022-01-13 10:10:58,267 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/test/resources
2022-01-13 10:11:01,621 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 18 sec
2022-01-13 10:11:10,822 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:11:10,844 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 10:11:11,087 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:11:11,090 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:12:34,761 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:12:34,786 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 10:12:34,979 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:12:34,981 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:15:21,262 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: init:init-resume:1.0.0 @ C:\Users\USER\Documents\아카이브\init-resume\pom.xml.
2022-01-13 10:15:27,303 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:15:27,308 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
